SUMLEV,GEOID,GEOCODE,NAME,BASENAME,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003
050,0500000US04001,04001,Apache County,Apache,PLST,AZ,000,02,2,49105,47552,11973,164,34168,270,17,960,1553,1447,18,481,27,15,739,66,0,5,3,20,18,47,3,1,4,81,11,0,0,9,3,2,40,3,0,1,0,5,0,0,7,0,0,0,0,0,18,4,1,3,0,0,0,1,0,0,5,2,2,0,0,0,4,1,2,0,0,1,0,3,3,49105,2572,46533,45722,11261,163,33926,266,17,89,811,778,18,475,26,15,123,65,0,5,0,20,18,9,3,1,0,28,8,0,0,3,3,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,1,28723,22103,6620
050,0500000US04003,04003,Cochise County,Cochise,PLST,AZ,000,02,3,99330,84395,67614,3790,1214,2299,363,9115,14935,14324,512,1627,657,98,10956,54,56,6,126,15,4,120,56,26,11,510,104,26,8,48,22,2,199,40,39,0,9,0,8,0,1,2,0,2,0,0,74,3,4,38,3,1,0,1,10,3,5,0,0,2,0,4,24,11,8,1,0,4,0,3,3,99330,29667,69663,65761,58468,3540,640,2223,322,568,3902,3650,461,1378,600,94,890,47,53,6,33,15,4,13,48,7,1,207,79,26,8,12,20,2,9,38,4,0,7,0,2,0,0,0,0,0,0,0,30,3,2,13,3,1,0,1,3,0,2,0,0,2,0,0,12,6,5,1,0,0,0,3,3,58648,50936,7712
050,0500000US04005,04005,Coconino County,Coconino,PLST,AZ,000,02,4,115992,107025,70904,1747,25912,2325,209,5928,8967,8473,567,1704,860,102,4756,118,33,7,58,44,6,142,53,15,8,438,74,36,0,20,28,0,167,80,17,0,0,0,3,2,5,0,5,0,0,1,31,4,0,12,0,5,0,10,0,0,0,0,0,0,0,0,12,4,8,0,0,0,0,13,13,115992,15873,100119,95854,66001,1607,25294,2247,201,504,4265,4021,502,1526,807,102,842,107,29,4,8,30,4,10,46,2,2,220,63,30,0,13,16,0,13,70,7,0,0,0,0,2,1,0,5,0,0,0,22,1,0,9,0,4,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,69108,51320,17788
050,0500000US04007,04007,Gila County,Gila,PLST,AZ,000,02,5,43006,39685,30803,205,5982,366,31,2298,3321,3202,73,719,102,27,2205,0,0,1,14,1,1,30,19,9,1,102,10,8,0,1,7,8,41,4,0,0,3,3,0,8,2,0,3,0,4,0,11,3,0,0,3,0,0,0,2,3,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,43006,6535,36471,35218,28669,179,5816,359,30,165,1253,1199,60,631,96,27,349,0,0,1,5,1,1,5,19,3,1,49,6,7,0,1,7,8,8,1,0,0,3,0,0,8,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,32373,22312,10061
050,0500000US04009,04009,Graham County,Graham,PLST,AZ,000,02,6,27715,25006,18367,444,3452,167,16,2560,2709,2598,51,310,52,17,2103,11,3,3,11,1,4,15,10,7,0,99,12,8,0,5,5,2,50,10,2,5,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,2,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,27715,7880,19835,19310,15347,406,3316,150,16,75,525,502,48,260,48,10,95,7,3,3,10,0,4,4,10,0,0,23,8,3,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13704,12150,1554
050,0500000US04011,04011,Greenlee County,Greenlee,PLST,AZ,000,02,7,6843,5824,4796,58,226,66,0,678,1019,967,22,107,9,2,811,0,0,1,4,0,4,0,7,0,0,38,5,0,0,3,1,5,23,0,0,0,0,0,0,0,1,0,0,0,0,0,14,4,1,2,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6843,2939,3904,3731,3423,57,176,59,0,16,173,158,16,94,7,0,30,0,0,0,0,0,4,0,7,0,0,8,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,3634,755
050,0500000US04012,04012,La Paz County,La Paz,PLST,AZ,000,02,8,13505,12104,8862,99,1836,96,29,1182,1401,1333,26,309,17,7,925,2,3,5,1,3,0,23,8,3,1,57,13,0,2,5,2,3,19,5,0,0,0,0,6,0,0,0,0,0,2,0,10,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13505,2818,10687,10210,8397,88,1569,96,21,39,477,442,26,265,17,6,103,2,0,5,0,3,0,4,8,3,0,30,13,0,0,4,1,3,2,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13457,7370,6087
050,0500000US04013,04013,Maricopa County,Maricopa,PLST,AZ,000,02,9,3382386,2989475,2148372,188296,71499,160338,7865,413105,392911,376514,20484,33010,23424,2513,277672,3280,1865,295,5060,524,180,4364,1902,1533,408,14928,2769,969,115,1606,703,105,5354,1479,1140,119,97,20,165,87,55,12,28,45,11,49,1292,282,51,574,45,67,7,84,115,11,43,11,1,0,1,0,152,74,69,4,0,5,0,25,25,3382386,902740,2479646,2372869,1963332,180875,50004,156654,7051,14953,106777,100124,18624,27743,21658,2313,20555,2883,1713,264,1534,376,138,141,1712,417,53,6081,2224,854,102,426,504,72,151,1325,133,16,78,19,44,71,26,2,19,0,0,15,502,204,31,107,41,25,2,63,3,5,10,10,0,0,1,0,66,48,16,2,0,0,0,4,4,1812827,1643579,169248
050,0500000US04015,04015,Mohave County,Mohave,PLST,AZ,000,02,10,177461,162804,144942,1794,3761,2342,322,9643,14657,13979,497,3504,718,158,8590,54,18,5,90,11,6,177,89,43,19,627,98,17,6,32,59,13,231,108,35,6,2,1,2,3,1,4,8,1,0,0,42,2,1,15,2,5,0,9,0,2,6,0,0,0,0,0,9,5,3,0,0,1,0,0,0,177461,24252,153209,146347,138599,1708,2941,2254,299,546,6862,6530,466,3180,678,140,1854,47,18,5,17,2,6,11,83,20,3,308,83,10,4,17,44,11,25,96,3,0,2,0,1,3,1,0,8,0,0,0,16,0,0,0,0,3,0,9,0,0,4,0,0,0,0,0,8,5,3,0,0,0,0,0,0,117650,91270,26380
050,0500000US04017,04017,Navajo County,Navajo,PLST,AZ,000,02,11,79208,75232,38652,626,33068,447,61,2378,3976,3772,123,1132,141,25,2107,85,0,2,13,25,20,78,15,5,1,196,44,10,3,21,11,3,60,24,2,0,0,6,6,0,4,1,0,1,0,0,7,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,79208,7334,71874,70008,36129,577,32631,442,49,180,1866,1770,111,1014,130,24,336,80,0,0,1,25,20,13,15,0,1,90,36,6,0,7,9,3,4,20,2,0,0,0,1,0,0,1,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,56180,36836,19344
050,0500000US04019,04019,Pima County,Pima,PLST,AZ,000,02,12,834265,712166,534542,29806,24938,26204,1591,95085,122099,117237,4106,9555,5938,510,92630,653,443,44,1012,174,31,1372,334,349,86,4438,620,185,26,439,195,37,2144,257,371,36,27,0,40,14,3,2,11,15,2,14,394,71,6,196,15,18,0,13,51,7,15,1,0,0,0,1,30,3,23,0,3,1,0,0,0,834265,265048,569217,543393,468023,28004,17197,25204,1415,3550,25824,24406,3631,7495,5415,443,5604,540,396,34,307,102,24,47,280,72,16,1306,462,158,18,113,128,24,69,228,43,0,27,0,9,6,0,2,11,0,2,6,107,39,3,22,14,14,0,10,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,470132,427021,43111
050,0500000US04021,04021,Pinal County,Pinal,PLST,AZ,000,02,13,325640,290604,217107,15957,14478,5454,838,36770,35036,33590,1533,4175,1345,230,24041,340,98,24,375,32,14,375,867,112,29,1302,236,50,16,136,54,10,499,156,82,14,0,1,40,6,0,0,1,1,0,0,125,17,2,49,11,2,0,19,16,0,6,0,0,0,2,1,18,0,14,0,1,2,1,1,1,325640,80802,244838,233863,199227,15447,12012,5212,769,1196,10975,10383,1383,3547,1221,217,2605,295,91,20,127,20,14,17,806,14,6,527,200,44,14,45,38,8,18,130,4,8,0,0,12,6,0,0,0,0,0,0,56,12,2,10,11,2,0,13,3,0,1,0,0,0,2,0,8,0,6,0,1,0,1,1,1,172878,146663,26215
050,0500000US04023,04023,Santa Cruz County,Santa Cruz,PLST,AZ,000,02,14,35215,22848,12534,127,346,244,13,9584,12367,12200,24,149,24,1,11858,5,2,2,24,0,3,86,2,20,0,154,0,0,0,21,0,9,83,2,32,1,0,0,1,0,0,0,4,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,1,1,35215,27978,7237,7001,6501,96,63,227,13,101,236,212,14,97,16,0,64,5,2,2,0,0,3,4,2,3,0,24,0,0,0,5,0,9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18729,16670,2059
